"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,7.3,,
"CZE","Czech Republic","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,6.5,,
"DNK","Denmark","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,7.5,,
"FIN","Finland","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,7.5,,
"FRA","France","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,6.5,,
"DEU","Germany","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,7,,
"GRC","Greece","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,4.9,,
"HUN","Hungary","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,4.8,,
"ISL","Iceland","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,7.6,,
"IRL","Ireland","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,7,,
"ITA","Italy","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,5.9,,
"JPN","Japan","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,6.1,,
"KOR","Korea","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,6,,
"LUX","Luxembourg","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,6.9,,
"MEX","Mexico","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,6.8,,
"NLD","Netherlands","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,7.3,,
"NZL","New Zealand","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,7.3,,
"NOR","Norway","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,7.6,,
"POL","Poland","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,5.8,,
"PRT","Portugal","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,5.1,,
"SVK","Slovak Republic","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,6.2,,
"ESP","Spain","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,6.5,,
"SWE","Sweden","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,7.2,,
"CHE","Switzerland","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,7.5,,
"TUR","Turkey","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,5.8,,
"GBR","United Kingdom","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,6.8,,
"USA","United States","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,7.2,,
"BRA","Brazil","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,7,,
"CHL","Chile","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,6.8,,
"EST","Estonia","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,5.6,,
"ISR","Israel","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,7.3,,
"RUS","Russia","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,6,,
"SVN","Slovenia","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,5.6,,
"OECD","OECD - Total","SW_LIFS","Life satisfaction","L","Value","WMN","Women","AVSCORE","Average score","0","units",,,6.6,,
"AUS","Australia","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.4,,
"AUT","Austria","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.6,,
"BEL","Belgium","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.2,,
"CAN","Canada","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.6,,
"CZE","Czech Republic","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.2,,
"DNK","Denmark","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.7,,
"FIN","Finland","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.9,,
"FRA","France","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.2,,
"DEU","Germany","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.4,,
"GRC","Greece","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,5.9,,
"HUN","Hungary","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,6.1,,
"ISL","Iceland","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.8,,
"IRL","Ireland","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.2,,
"ITA","Italy","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,6.6,,
"JPN","Japan","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,6.3,,
"KOR","Korea","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,6.3,,
"LUX","Luxembourg","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.4,,
"MEX","Mexico","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.7,,
"NLD","Netherlands","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.6,,
"NZL","New Zealand","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.5,,
"NOR","Norway","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.7,,
"POL","Poland","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,6.7,,
"PRT","Portugal","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,6.2,,
"SVK","Slovak Republic","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,6.8,,
"ESP","Spain","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.1,,
"SWE","Sweden","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.5,,
"CHE","Switzerland","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.8,,
"TUR","Turkey","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,6.1,,
"GBR","United Kingdom","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.1,,
"USA","United States","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.5,,
"CHL","Chile","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.7,,
"EST","Estonia","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,6.1,,
"ISR","Israel","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7.5,,
"RUS","Russia","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,6.3,,
"SVN","Slovenia","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,0,,
"OECD","OECD - Total","SW_LIFS","Life satisfaction","L","Value","HGH","High","AVSCORE","Average score","0","units",,,7,,
"AUS","Australia","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,7.2,,
"AUT","Austria","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,6.9,,
"CAN","Canada","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,6.9,,
"CZE","Czech Republic","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,6.3,,
"FIN","Finland","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,7,,
"FRA","France","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,6.4,,
"DEU","Germany","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,6.6,,
"GRC","Greece","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,3.5,,
"HUN","Hungary","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,4.5,,
"ISL","Iceland","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,7.4,,
"IRL","Ireland","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,6.8,,
"ITA","Italy","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,5.7,,
"JPN","Japan","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,5.6,,
"KOR","Korea","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,5,,
"LUX","Luxembourg","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,6.6,,
"MEX","Mexico","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,6.1,,
"NZL","New Zealand","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,7.1,,
"NOR","Norway","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,7.3,,
"POL","Poland","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,4.8,,
"PRT","Portugal","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,4.5,,
"SVK","Slovak Republic","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,5.7,,
"ESP","Spain","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,6.1,,
"SWE","Sweden","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,7,,
"CHE","Switzerland","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,7.2,,
"TUR","Turkey","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,5.3,,
"GBR","United Kingdom","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,6.3,,
"BRA","Brazil","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,6.7,,
"CHL","Chile","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,6,,
"EST","Estonia","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,5.1,,
"RUS","Russia","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,5.4,,
"SVN","Slovenia","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,5,,
"OECD","OECD - Total","SW_LIFS","Life satisfaction","L","Value","LW","Low","AVSCORE","Average score","0","units",,,5.9,,
